id,importe,tipo,descripcion,animal_id,inserted_at,updated_at
c0bc1c56-8755-4523-be54-3fcdc64bafa9,84,"Displ commnt fx shaft of r femr, 7thE","Dilate of R Ext Carotid with 4 Drug-elut, Perc Endo Approach",89b91b02-6635-41cb-b8a3-1fd0f9e3ea8c,2022-11-13 06:44:59,2022-03-26 06:44:52
09ae5b4f-e31d-4ba4-96c9-f53d34ebbc9b,76,"Other physeal fracture of unspecified calcaneus, 7thB",ROM/Jt Integrity Assess Musculosk Low Back/LE w Oth Equip,0a619a60-5b62-4496-80fb-bb4ea790c5ec,2022-05-02 20:50:11,2022-11-11 00:19:13
be5c9588-2f0d-4519-9a1f-bd3b4666c1b5,87,Fracture of ramus of left mandible,"Resection of Right Maxilla, Open Approach",9f45270c-1e5d-4a68-b083-7bbddf1625c6,2022-07-06 22:12:07,2023-01-27 13:32:30
88921bbd-587a-45f2-9280-801b2bbebd7b,1,"Other secondary cataract, right eye",Plain Radiography of Left Hand,6b83e701-2739-43a3-b3df-56e7dd846372,2022-11-02 23:20:28,2022-12-05 19:49:38
93f8af9b-2aba-485a-b2f5-0508223c99d9,6,"Inhalant use, unsp with inhalant-induced anxiety disorder","Drainage of R Ext Carotid, Perc Endo Approach, Diagn",96c10803-1cac-4c1b-b4f5-8621d83f0de8,2022-08-20 10:34:28,2022-04-06 17:16:19
e6b92a84-3d27-4a5d-ae55-759bb4dbcc8a,5,"Pedl cyc pasngr inj in clsn w nonmtr vehicle in traf, subs","Revision of Autol Sub in R Tarsal, Extern Approach",609cbecf-e6e0-437d-8491-7ccfc221ff08,2022-12-23 13:07:15,2022-05-08 16:25:31
c967370e-d27e-4780-9977-a23f56f71e9f,31,"Ped w convey injured pick-up truck, pk-up/van, unsp, sequela","Insert of Radioact Elem into R Shoulder, Perc Endo Approach",bfe74bd9-3e21-4ebd-a40c-a73498888dc6,2022-06-11 18:37:07,2022-08-06 16:52:54
3b9945a0-973f-4980-8a8c-f3f0ea6fe971,62,Atrophoderma of Pasini and Pierini,"Introduction of Other Gas into Resp Tract, Perc Approach",3c71a661-f916-4041-a402-7f6bef7ec4d3,2022-10-04 13:53:28,2022-07-20 09:44:30
ce0474df-bbac-4980-8e9f-410f0deb9a2a,58,"Chondromalacia patellae, left knee","Supplement L Verteb Art with Nonaut Sub, Perc Approach",546104bb-2f1f-4c68-a8d7-79a2dc549d40,2022-11-13 13:50:46,2023-02-28 12:57:48
1b725d21-7fce-4fcc-aa71-169fae5913f6,47,Obstetric high vaginal laceration alone,"Dilate R Com Iliac Art, Bifurc, w Intralum Dev, Perc",bca484bc-ea94-40f2-b7f7-10a2389518f6,2022-11-20 20:32:01,2022-06-22 08:30:29
f0e58525-1584-432a-b1d9-90e6cdb1c7e2,75,"Open bite, left hip, subsequent encounter","Introduction of Other Antineoplastic into Eye, Perc Approach",0afe6bad-c279-41c0-bcff-0baf0fbda552,2022-04-11 03:25:03,2022-06-12 18:22:54
f77ad74f-5f62-4f0f-98c9-9f68670f5c9c,11,"Toxic effect of rodenticides, undetermined, init encntr","Bypass Com Bile Duct to CBD w Intralum Dev, Perc Endo",eb273fd5-d38e-4284-8509-21bace7e8e9b,2022-11-02 21:29:52,2022-05-07 19:05:58
85f7e433-d996-4cbe-a43f-e7ec1928f39e,13,"Leakage of breast prosthesis and implant, sequela","Dilation of Duodenum, Via Natural or Artificial Opening",6cb544d1-b567-40ec-b74e-acee0eff9bd0,2022-10-07 22:46:56,2022-03-18 01:35:15
34610947-b679-4ba4-b9bf-67c1d6a07da7,83,"Other osteonecrosis, unspecified finger(s)","CT Scan Hepatobil Sys, All w H Osm Contrast, Unenh, Enhance",c151121f-0bb1-4ec7-9d5b-06dac9b55cb9,2022-07-07 14:03:14,2022-11-17 18:38:18
90231083-7db6-4cdc-81a4-2723498f5508,98,"Exposure to smoke, fire and flames, undet intent, init","Restrict of Sup Mesent Art with Extralum Dev, Perc Approach",2ece7a6b-e8b1-4026-b97b-9376c2075b7f,2023-02-24 02:13:53,2022-08-10 12:10:23
495b31cb-7d69-4a6c-b628-c93a56ab1820,12,"Gastric contents in esoph cause comprsn of trachea, sequela","Extirpation of Matter from Sacral Nerve, Perc Endo Approach",594d92eb-531e-4acf-80c8-2d7f850be19e,2022-07-14 22:34:23,2022-12-10 02:18:36
2d409676-5678-49b3-abef-8e36142869b1,99,"Chronic gout due to renal impairment, right hip, with tophus","Drainage of R Int Mamm Art, Perc Endo Approach, Diagn",98d1477b-eb13-40a4-8d06-c610b70028ec,2023-02-14 14:49:02,2022-10-02 02:09:29
7de79d86-2e68-4bb1-8f0e-2683614d56bf,15,Moderate persistent asthma with status asthmaticus,"Division of Left Patella, Percutaneous Approach",420c7aeb-ff9a-4307-8bf8-ec157991fe69,2023-01-15 06:06:14,2023-01-19 02:01:24
ceb6153b-ff23-45d7-ab82-13e373900243,63,"Nondisp oblique fracture of shaft of unsp radius, sequela","Insertion of Feeding Device into Ileum, Endo",d2b8e626-026d-4e9c-ad9f-792561611031,2022-07-08 15:00:47,2022-11-06 01:34:44
16ab6a56-7e0c-42a2-bfa5-50a416a6cad3,19,"Unsp fx upr end unsp tibia, 7thR","Restriction of Middle Esophagus, Perc Endo Approach",ab3504c3-8153-4b88-9d54-227426549cb2,2022-08-28 16:33:09,2022-04-15 20:25:23
19b8ffd9-91b6-45cc-a2c6-c51092d8842d,28,"Stiffness of unspecified knee, not elsewhere classified","Division of R Elbow Bursa/Lig, Perc Endo Approach",7060687e-0395-4cd5-a175-e70bc4c56e75,2022-10-13 09:37:35,2022-12-19 11:31:02
873452bd-631b-4833-8799-46cdb752f810,92,"Pressure ulcer of sacral region, unstageable","Revision of Drainage Device in Hepatobil Duct, Open Approach",ab8adf40-d2e1-48cc-bd67-a185aa5d6f80,2022-10-15 15:21:46,2022-08-22 03:39:55
af1b00c1-badf-4f0d-84ba-bfd7b3f79f36,71,"Caught, crush, jammed, or pinched betw stationry obj, subs","Removal of Synth Sub from L Low Extrem, Perc Endo Approach",521eadb3-0e4f-4c30-bd09-458b425d9048,2022-08-24 17:12:40,2022-03-17 20:38:52
dba4ca06-32c9-45eb-af87-afbe4a068972,56,Benign neoplasm of right ureter,"MRI of Fetal Thorax using Oth Contrast, Unenh, Enhance",78222747-c997-4d59-9625-f0307ace853d,2022-04-30 02:32:37,2022-04-14 03:15:46
dc2d4e1b-dbfe-4f54-aed0-23917f31958e,77,"Unsp fx upr end r tibia, subs for opn fx type I/2 w nonunion","Change Drainage Device in Thymus, External Approach",e47f9a3e-b0be-49b2-9f36-838692fbc886,2022-07-30 13:18:31,2022-06-25 08:00:31
4c2f1287-cee2-4e02-af92-441137a9660f,87,"Jump/div into natrl body of wtr strk botm cause drown, subs","Excision of R Metacarpophal Jt, Perc Approach, Diagn",42aba854-4537-4ea8-a23d-3804faea7845,2022-11-25 20:53:18,2023-02-04 18:00:38
ecd64ac9-56e4-4417-b06c-56b2ee237c39,34,"Sprain of oth parts of lumbar spine and pelvis, subs encntr","Replacement of Right Tibia with Synth Sub, Perc Approach",49afcc6f-3146-448f-8776-06ac60a1eccd,2022-04-29 03:30:03,2023-02-17 15:12:49
65d304c9-1e74-4caa-9ab1-28d2cf9fb56b,26,"Displ transverse fx r patella, subs for clos fx w delay heal","Reposition R Low Femur with Ring Ext Fix, Perc Endo Approach",fb5f6f20-0604-4f44-af8c-6cec6916610a,2023-01-02 05:24:26,2022-08-12 09:01:55
ab5addca-2752-417e-a620-17fa795ef33a,29,"Gastric contents in trachea causing oth injury, init encntr","Extirpation of Matter from L Abd Tendon, Perc Approach",e3e21b98-ac0d-4c88-baf6-0cb4e9ae2792,2023-02-20 20:38:40,2022-10-03 04:10:44
ec7f7003-1deb-4f88-ab9f-ecb762a52e25,71,"Burn of third degree of upper back, subsequent encounter","Supplement R Up Leg Tendon with Nonaut Sub, Open Approach",460ff343-0fea-4572-9f22-174a87435d81,2022-06-21 21:44:54,2022-11-06 17:47:08
fc651c3e-1dc5-407f-ae08-00ff0a9a33b3,38,"Kearns-Sayre syndrome, bilateral","Occlusion of Right Lower Lobe Bronchus, Endo",75a92fe7-c2ee-4e1c-8622-b7604a524bee,2022-08-23 11:40:01,2022-04-08 07:21:25
97960a97-5aa0-4003-82b7-c0cd996fe7ca,78,"Military operations, unspecified","Removal of Ext Fix from L Toe Phalanx, Perc Approach",b885cd94-2473-4c36-a2e3-5226f09e168d,2022-10-01 01:37:40,2022-05-17 07:51:05
ba76496e-4c57-4851-9943-eb0717182b72,99,Other chronic allergic conjunctivitis,"Excision of Thoracic Sympathetic Nerve, Open Approach, Diagn",a2a06bb2-85d5-466b-9a99-4cec8240e472,2022-05-26 07:27:45,2022-08-27 04:10:51
047565ed-8e00-41ef-861a-a51345fc7ca5,40,"Oth incomplete lesion at C6, sequela","Revision of Infusion Device in Urethra, Endo",78222747-c997-4d59-9625-f0307ace853d,2022-03-23 00:45:20,2022-11-11 19:56:30
2f251000-181d-4774-a83f-106e07fe5386,2,"Partial physeal arrest, left distal femur","Removal of Nonaut Sub from L Elbow Jt, Open Approach",e6b9ad17-b9d9-4d4a-b5b9-c010acf575ca,2022-11-23 21:14:09,2022-03-19 02:29:15
234f30b6-56f8-46d1-b586-c253b3f81308,21,"Myositis ossificans traumatica, right upper arm",Beam Radiation of Buttock Skin using Photons >10 MeV,16b079cd-0eb6-422f-b4b2-7c84c45a5153,2022-03-20 06:49:52,2022-04-08 21:39:27
dcabf39a-824f-41b7-b820-40ce65c22c86,24,"Oth disorders of bone development and growth, unsp lower leg","Removal of Nonaut Sub from Nose, Open Approach",bbf53d9e-a34f-4229-8381-ba3896bf3275,2022-07-20 20:02:21,2022-10-14 21:11:42
bfd5e8c3-17cf-4c49-82fd-8ef2c78af03c,97,"Retained (old) magnetic fb in iris or ciliary body, bi","Excision of Pericardium, Percutaneous Approach, Diagnostic",daab39f8-4d46-4833-b63f-89a4bee699e7,2022-05-24 17:36:23,2023-02-10 16:32:58
bd5185d8-20f5-4ec4-a0d7-30cff6bbd9d9,11,"Contact with powered lawn mower, sequela","Destruction of Thoracic Vertebral Disc, Perc Approach",c2af02fb-1337-4c46-a102-65c03b23b4ec,2023-02-24 11:59:37,2022-06-12 15:56:07
b36ee430-703b-4880-bd18-7775ad5cd626,71,"Maternal care for hydrops fetalis, first trimester, fetus 3","Drainage of Right Buttock with Drain Dev, Perc Endo Approach",aae104ab-7dc6-44b3-ad0d-5c5e2ee0af8b,2022-08-29 04:44:55,2022-07-27 23:31:27
32b2c9bd-0876-4fa5-bf41-b4114f3f5a02,89,"Other specified sex chromosome abnormalities, male phenotype","Removal of Intraluminal Device from Stomach, Via Opening",d065369c-4a3d-47cb-89ea-0e6bf1f3a3bd,2022-10-10 01:11:28,2022-10-04 04:53:03
9e59022c-e526-4877-9533-3e23b98f3753,12,"Occupant of stcar injured in clsn w mtr veh nontraf, sequela","Revise Monitor Dev in Tracheobronc Tree, Perc Endo",422fb7d9-48d0-48f2-a46d-62ed621dc6e8,2022-05-27 03:39:23,2022-10-16 12:47:11
6f23de1e-9e72-438b-be9d-8ba44b63dde0,41,Major laceration of abdominal aorta,"Bypass Bilateral Ureters to Ileum, Perc Endo Approach",a8521356-4ee6-412b-8578-33d6bb4af3e4,2022-06-07 18:29:14,2022-03-12 18:47:12
3b427ee8-5530-480f-9829-b43daf3b8514,34,"Pasngr in 3-whl mv inj in nonclsn trnsp acc nontraf, init","Fragmentation in Right Large Intestine, External Approach",314f633d-0443-4cc6-9916-96516697c607,2023-02-02 23:04:38,2022-04-05 01:41:34
48ea5167-93db-4a1c-b4ef-b25f52ad0c84,70,Mechanical strabismus,CT Scan of Skull using L Osm Contrast,3501b287-3cc9-4924-a526-9617b48e4936,2022-09-23 01:17:47,2022-08-01 11:44:07
b8bae956-ec89-4855-a23d-23578e13fe10,76,"External constriction of right hand, initial encounter","Supplement R Knee Tendon with Autol Sub, Perc Endo Approach",f03e7874-9205-42a1-9dd5-f116a1ed2eb1,2022-06-24 15:50:43,2023-01-21 16:03:08
d2ef7a5f-dd58-45fb-9baa-2a22ce7d4710,76,"Milt op involving explosion of marine mine, milt, init","Removal of Synth Sub from Facial Bone, Open Approach",6cff6a4b-f220-442c-bea1-799d70557523,2022-09-03 10:00:04,2022-05-02 11:31:52
1bd20b48-bec3-4112-a35e-a7f923b5c253,53,Non-pressure chronic ulcer of left ankle,"Dilation of L Renal Art with 4 Drug-elut, Open Approach",3a2ad4a4-89cd-4a88-8d1d-f217f659f595,2023-01-20 19:31:57,2022-04-12 14:34:59
d2a493fa-1706-4774-a8b1-49b14e48fe24,58,"Unspecified injury of lung, unilateral, subsequent encounter",HDR Brachytherapy of Thyroid using Palladium 103,0b789a04-03eb-4865-9f05-9fc124e8b01d,2022-06-09 13:41:29,2022-12-18 15:56:51
07d89bed-9f75-473d-b565-0d2107b994e1,61,"Ultralt/microlt/pwr-glider clsn injuring occupant, sequela","Fusion of Left Metatarsal-Tarsal Joint, Open Approach",49143d40-3548-451d-9007-32db0d660ef4,2023-01-03 13:54:09,2022-05-04 14:49:46
ecf1cace-67d1-41dd-ba5c-14ed8195fbd9,90,"Disp fx of medial phalanx of right index finger, sequela","Removal of Autol Sub from R Up Extrem, Open Approach",bc71a61c-cfd3-4642-81bc-470f3dde1bdf,2022-08-10 15:36:25,2022-07-10 11:02:15
15de55de-3e35-41ac-94c9-d0a96abc8e48,95,"Poisoning by oth antidepressants, undetermined, init encntr","Restriction of L Radial Art with Extralum Dev, Open Approach",bd017648-8511-435c-af3e-352dc8e98b3c,2022-08-05 09:52:43,2023-02-09 01:56:47
eb96f838-6d99-4eb5-9f52-8a263f028b9d,37,"Nondisplaced unsp fracture of right lesser toe(s), init","Reposition Left Ankle Joint with Int Fix, Perc Endo Approach",8b79a784-9644-4797-8c37-0f8307f04c87,2022-10-27 17:08:50,2022-07-20 10:49:17
6cf9c097-2245-4682-af0b-92cdf939a51a,79,"Fracture of bony thorax, part unsp, init for opn fx","Bypass Abd Aorta to Mesent Art w Nonaut Sub, Perc Endo",30bdcf33-dc04-4a40-9b8d-45838050e5dd,2022-11-15 16:16:01,2022-07-05 23:40:22
20568844-6d34-4840-ad1f-97ae00d03bb2,52,"Puncture wound w/o foreign body of left breast, subs encntr","Dilation of 3 Cor Art, Bifurc, Open Approach",16b079cd-0eb6-422f-b4b2-7c84c45a5153,2022-11-29 14:06:20,2022-11-27 05:17:29
8605247c-42ff-417b-abcf-dd2ef979aac4,80,Gambiense trypanosomiasis,"Extirpation of Matter from Lower Esophagus, Endo",3d45ff1c-f050-4018-a86a-eed84c1a095e,2022-09-06 16:28:49,2022-09-04 07:33:44
f1c8e3a9-a848-4c01-9331-d87a772b1c05,55,Congenital ichthyosis,"Drainage of Left Hypogastric Vein, Percutaneous Approach",72e0a688-c3f7-4e4d-92be-d18058bceffd,2022-08-26 06:13:57,2022-07-16 14:58:48
f39a5291-89a6-4b0d-84ac-0513f9b6fe62,59,Mechanical complication of ventricular intracranial shunt,"Bypass L Vas Deferens to L Vas Def w Autol Sub, Open",f3bb7e85-d9b7-4a73-a4ee-b91e0a178941,2022-09-05 12:39:48,2022-10-22 12:18:38
8e522e60-ff25-4b9a-9cc5-d57bbcc538ce,98,"Disp fx of prox 3rd of navic bone of l wrs, 7thG","MRI of R Shoulder using Oth Contrast, Unenh, Enhance",82609f3f-c808-4b7f-ac68-4827d4ee0733,2022-09-09 16:12:15,2022-09-13 22:58:42
f4626fd7-7982-4a4b-b11e-78bfc13cfe61,65,Laceration of long flexor musc/fasc/tend thmb at wrs/hnd lv,"Insert Infusion Dev in Hepatobil Duct, Perc Endo",3d29675a-5e55-4309-a824-c3e121b63691,2022-12-21 06:43:49,2022-10-01 17:35:46
efb4b7fa-2346-43d3-a66b-b6ee4a90240e,37,"Pnctr w fb of l little finger w/o damage to nail, sequela","Restriction of Right Posterior Tibial Artery, Perc Approach",398250fe-e9ed-499d-9ae2-071914210509,2022-06-10 05:59:16,2022-11-12 14:09:02
8ce05954-4c01-4d4a-b943-d9fa1ea73497,73,"Adverse effect of cocaine, sequela","Revision of Infusion Device in Periton Cav, Open Approach",6288923f-389c-4d4d-a731-40b67fd0575f,2023-01-22 04:02:25,2022-03-23 15:25:02
79a64c48-3292-4f20-a863-0bc7da309ac8,81,"Mech compl of cystostomy catheter, sequela",Beam Radiation of Chest Skin using Neutrons,d4c05dd6-f96c-469a-97c8-f001d62f22e6,2022-04-22 03:53:06,2023-02-07 21:07:24
20832e9d-b313-4b93-8d52-6f17b1c52dfe,12,"Late syphilis, latent","Extirpation of Matter from R Metacarpocarp Jt, Open Approach",1a45b1e3-50b9-4ff9-950f-24d938225213,2022-07-02 01:38:43,2022-11-16 01:05:42
3cbbd030-287d-439b-86b7-09aa651c45e7,25,Multiple endocrine neoplasia [MEN] type IIB,"Insert of Stim Lead into R Int Carotid, Perc Endo Approach",13f62496-bc22-4700-a7a0-2e74d6173c2b,2022-08-01 00:13:33,2022-03-28 12:14:41
b1c95a05-7f5e-4295-8bea-54770e93f654,24,"War op w dest arcrft due to enmy fire/expls, civilian, init",Plain Radiography of L Salivary Gland using H Osm Contrast,701b7bc4-5202-4a2a-becf-19bbdbb48ea0,2022-05-01 02:42:08,2022-03-16 18:34:37
e75abcf5-0b0f-43d9-9601-ac9ba5379c08,67,Enterostomy malfunction,"Supplement L Metatarsotars Jt with Autol Sub, Perc Approach",f45643f9-1fe6-4c3f-b991-db633b8da4ba,2022-09-28 16:38:45,2022-05-15 14:43:57
b0d49902-567b-4f6e-b7b4-feded1e78c01,23,Oth traum nondisp spondylolysis of third cervcal vertebra,Immobilization of Head using Splint,89a33ea6-0597-4114-a1f0-6dcd9afc4fa0,2022-10-22 14:37:51,2022-11-05 12:34:32
dac7bc36-a662-442a-8fd0-bb6fc31d8a34,19,Congenital spondylolisthesis,"Removal of Synth Sub from Low Jaw, Extern Approach",e6b6a4bd-dc9d-4599-8509-b542f2b4c11d,2022-08-10 22:04:51,2022-12-27 09:56:44
f64a6823-0a80-4941-8cb1-9d5e0ffc146a,85,"Inj extn/abdr musc/fasc/tend of l thm at forarm lv, init","Skin and Breast, Extirpation",f7efc3dd-580a-4cd3-8c8c-8e73fbd26ab7,2022-03-12 15:45:43,2022-09-10 20:22:41
40dc8896-0cee-4e46-960a-53b490c28834,93,"Oth nondisp fx of base of 1st MC bone, l hand, 7thG","Extirpation of Matter from Nasal Bone, Perc Endo Approach",90ad77c0-ae32-48e0-b370-e27a8f3b7815,2022-08-10 10:50:11,2022-04-29 20:44:32
a90760a9-b4ca-42f9-8cff-5c7a8e0e7ca8,55,Nondisplaced dome fracture of left acetabulum,"Dilate L Foot Art, Bifurc, w 2 Drug-elut, Perc",fd826e45-3762-46bd-8853-aeb75ec06133,2022-09-24 14:12:35,2022-07-28 11:58:58
340563b1-f9fe-4eb8-b842-a6845d5799f8,10,"Other contact with other psittacines, subsequent encounter","Release Nasal Turbinate, Endo",40d3a295-95a6-477c-a6f5-85b2071ff402,2022-11-14 10:46:42,2022-04-14 14:52:41
fc8d48f4-669d-4516-9042-b360a30a16f8,81,"Type 2 diab with mod nonp rtnop with macular edema, unsp","Reattachment of Uterus, Open Approach",ff9d356f-b8ed-4912-a836-fde160fb26a6,2022-09-01 02:44:00,2022-04-30 18:34:34
7bfb806f-b8fd-45c3-bead-cf88dedcc16e,85,"Age-rel osteopor w crnt path fx, unsp femr, 7thP","Drainage of Right Axillary Lymphatic, Open Approach, Diagn",393335f3-1075-4972-808d-cc90f9f133cb,2022-06-17 21:09:55,2022-05-22 06:40:53
53931809-4ae5-4df9-b929-bf026cb42a31,63,Milt op involving chemical weapons and oth unconvtl warfare,"Irrigation of Nose using Irrigating Substance, Endo",04191c89-1563-4510-ba4a-ffd590a54c5e,2022-08-22 17:09:04,2022-09-18 22:38:41
4969da44-1709-4814-b671-1d16d9a0ecc6,11,"Oth fx upr end r rad, subs for opn fx type 3A/B/C w nonunion","Insertion of Int Fix into L Mandible, Perc Approach",c1455fb2-b30f-4a0f-9d0a-28eb871aa145,2022-10-20 02:13:47,2022-06-13 11:38:52
7b54b11a-a5cc-43b0-9c17-d76a69556261,94,"Oth fracture of right great toe, subs for fx w delay heal","Dilation of L Popl Art with 2 Drug-elut, Perc Approach",72248b7a-ad9a-4626-8fbb-e9ab3cf822ad,2022-09-10 04:21:08,2022-12-26 01:00:50
4244bc69-a1ba-4ba3-b8c0-abf94867c482,67,"Ant disp fx of sternal end unsp clavicle, 7thP","Supplement R Ext Iliac Vein with Nonaut Sub, Open Approach",d3ff97cf-6bc2-4170-b181-61910d2a4660,2022-11-29 13:47:37,2022-10-17 05:16:05
c739add5-3ee9-46fc-a0a2-52c4e0dc1327,72,Contusion of unspecified thigh,"Drainage of Left External Iliac Vein, Percutaneous Approach",7ab6de97-5b7d-4892-b75d-f4c0295b4e19,2022-09-15 00:36:21,2022-03-25 01:36:56
57883671-7c43-4332-b8c4-031c991725f8,1,"Nondisplaced oth extrartic fracture of unsp calcaneus, init","Reposition Right Brachial Vein, Perc Endo Approach",b17129ca-b030-4afb-b47f-8cbfb17e9df1,2022-09-14 09:20:15,2022-04-12 01:27:44
55081162-9299-48b9-a08c-669fb6a09ed5,59,"Rupture of synovium, shoulder","Destruction of Left Thorax Muscle, Perc Endo Approach",1d5cd4a1-61c0-4590-b8c4-e3969ba112d4,2022-06-05 18:49:15,2022-04-17 21:32:02
fd0d9660-7d2d-4948-a50a-8d48ff87c821,40,"Major contusion of left kidney, initial encounter","Supplement Pericardium with Zooplastic, Perc Endo Approach",7aa11b2c-f3c8-4dfc-a943-808fff6c6f96,2022-06-02 06:00:32,2022-05-15 23:58:39
